"ID","Viewpoint","Location","Collar","Tie","Skirt","Uniform","Sleeve","NSFW","Mood","Subject","Gender","Time","Author","Remarks"
"20200419-1228-2","Front","School","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","1","しゅは",""
"20200419-1229-2","Front,Back","School","Navy Blue","","Navy Blue","White","0","0","2","2","0","0","やすの","Yuri,Kissing"
"20200419-1229-3","Side","Streets","Grue","Grue","Grue","White","0","0","0","1","0","1","やすの","Rainfall"
"20200420-1459","Front","","Black","White","Black","Black","1","0","1","1","0","","sonoda",""
"20200420-1500-4","Side","Streets","Navy Blue,Grue","Red","Navy Blue","White","1","0","2","1","0","0","Hiten",""
"20200422-1532-2","Front,Top","Streets","Gray","Red","Gray","White","1","0","1","1","0","0","まめもち","Fox"
"20200422-1532-3","Side","","Navy Blue","Blue","Navy Blue","White","0","0","2","1","0","","赤木",""
"20200422-1532-4","Front","","Gray","Gray","Gray","White","1","0","2","1","0","","葉深",""
"20200422-1532-5","Side","School","White","Red","Blue","White","1","0","2","1","0","0","泉アサヨ",""
"20200425-0112-3","Front","Wilderness,Beach","Navy Blue","Blue","Navy Blue","White","0","0","2","1","0","0","桜ひより",""
"20200425-0112-4","Top","Wilderness","Navy Blue,White","Red,Blue","Navy Blue,White","Pink,Navy Blue","1","0","1,2","2","0","0","桜ひより","Yuri,Hand Holding"
"20200426-1","Front","","White","Black","Black","White","1","0","1","1","0","","かぽりちお","Cat"
"20200426-2","Front","Streets","White","Grue","Grue","Navy Blue,Ivory","1","0","2","1","0","0","フカヒレ",""
"20200426-3","Front,Side","School","White","Grue","Grue","White","0","0","1","1","0","0","フカヒレ",""
"20200426-4","Front","Streets","White","Red","Red","White","0","0","2","2","0","0","フカヒレ","Rainfall,Umbrella"
"20200426-5","Front","Vehicle","Black","Green","Navy Blue","White","1","0","2","2","0","0,1","betock",""
"20200426-6","Front,Side","","Navy Blue","Red","Navy Blue","Brown,Dark Blue","1","0","2","2","0","","betock",""
"20200426-7","Side","","Navy Blue","Navy Blue","Navy Blue","Ivory,Pink","1","0","2","2","0","","betock",""
"20200426-8","Front","","Navy Blue","Red","Navy Blue","Brown","1","0","2","2","0","","betock",""
"20200427-1","Side,Back","","Navy Blue","Red","Navy Blue","Ivory,Brown","1","0","2","2","0","","betock",""
"20200427-2","Front,Side","","Navy Blue","Navy Blue","","Navy Blue","1","0","2","2","0","","betock",""
"20200427-3","Front","Building","Black","White","Black","Black","0","0","1","1","0","","kiby",""
"20200427-5","Front","","Navy Blue","Red","Navy Blue","White","1","0","2","2","0","1","Ttori","BanG Dream! Girls Band Party,Aya Maruyama,Chisato Shirasagi,Hand Holding,Yuri"
"20200427-6","Front","","Navy Blue","Grue","Navy Blue","White","1","0","2","1","0","","空凪ゆき",""
"20200428-1","Side","","White","Red","Brown","Brown","1","0","2","2","0","","耳かき",""
"20200428-2","Front","School","Navy Blue","White","Navy Blue","Navy Blue,Ivory","1","0","2","1","0","","耳かき",""
"20200428-4","Front,Side","Streets","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","1","耳かき",""
"20200428-6","Front,Side","","Gray","Light Blue","Gray","White","1","0","1","2","0","","TID",""
"20200429-2","Bottom","Streets","Gray","Red","Gray","White","1","0","1","1","0","1,2","耳かき",""
"20200429-4","Front","","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","","耳かき",""
"20200429-5","Front,Top","School","Grue,White","Red","Light Blue","Grue,White","1","0","1","1","0","0","ちょすけ",""
"20200502-1","Front,Side","Streets","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","2","サイトー",""
"20200502-2","Front","","Black","White","Black","Black","1","0","1","1","0","0","しぐれうい",""
"20200502-3","Front","","Navy Blue","Red","","White","0","0","0","1","0","","しぐれうい",""
"20200502-4","Front","Streets","Black","Light Blue","","White","","0","1","1","0","0","しぐれうい",""
"20200503-1","Front,Side","Library","Navy Blue","Red","","White","1","0","1","1","0","","サイトー",""
"20200503-2","Side","Wilderness","Navy Black","Light Blue","Navy Blue","White","0","0","1","1","0","1","サイトー",""
"20200503-3","Front,Side","Streets","Navy Blue","Red","","White","1","0","1","1","0","0","サイトー",""
"20200503-4","Front","Streets","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","1","サイトー",""
"20200503-6","Side","Streets","Black","Light Blue","Black","Black","1","0","0","1","0","1","サイトー",""
"20200504-1","Side","","Navy Blue","Red","Navy Blue","White","1","0","0","1","0","","サイトー",""
"20200504-2","Front,Side","","Navy Blue","Light Blue","Navy Blue","White","0","0","1","1","0","2","サイトー",""
"20200504-3","Back","","Navy Blue","White","","White","1","0","0","1","0","2","サイトー",""
"20200504-4","Side","","Navy Blue","Red","","White","0","0","1,2","1","0","0,1","サイトー",""
"20200504-5","Front","Wilderness","Navy Blue","Light Blue","Navy Blue","White","0","0","1","1","0","2","サイトー",""
"20200505-1","Front","","Navy Blue","Yellow","","White","1","0","0,1","1","0","2","サイトー",""
"20200505-2","Side","Wilderness","Navy Blue","Blue","Navy Blue","White","0","0","1","1","0","2","サイトー",""
"20200506-1","Front","Building","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","2","サイトー",""
"20200506-2","Front,Top","","Navy Blue","Red","","White","0","0","0","1","0","","サイトー",""
"20200506-3","Side","Library","Navy Blue","Green","Navy Blue","Ivory","1","0","1","1","0","0,1","サイトー",""
"20200506-4","Side","School","Navy Blue","Red","Navy Blue","White","1","0","1","2","0","","サイトー","Yuri,Kissing"
"20200506-5","Side","","Navy Blue","Red","Navy Blue","Gray,White","1","0","2","2","0","","サイトー","Yuri"
"20200506-6","Front,Top","Sofa","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","","サイトー",""
"20200507-1","Back,Front","School,Hidden","Navy Blue","Green","Navy Blue","White","0","0","2","3","0","","betock","Yuri"
"20200507-2","Front","Building","Black,Navy Blue","Red","","Black,Navy Blue","1","0","1","1","0","0","OTHERS",""
"20200507-3","Front","","White","Grue","Grue","Black,White","1","0","2","1","0","","たんたんめん","Fox"
"20200507-4","Front","","Black","Grue","Black","Gray","1","0","1","1","0","","たんたんめん",""
"20200507-5","Front","","Navy Blue","Light Blue","Navy Blue","Gray","1","0","2","1","0","","たんたんめん",""
"20200507-6","Front","","Black","Green","Black","Gray","1","0","2","1","0","","たんたんめん",""
"20200508-1","Front,Side","Chair","Black","Light Blue","Gray","Light Blue,White","1","0","2","1","0","","たんたんめん",""
"20200508-2","Front","","Black","Blue","Black","Black,Light Blue","0","0","1,2","1","0","","たんたんめん",""
"20200508-3","Front","","Light Blue","Yellow","","White","1","0","2","1","0","","たんたんめん",""
"20200508-4","Front","","Black","White","Black","Black","1","0","1","1","0","","たんたんめん",""
"20200508-5","Front","School","Black","Light Blue","Black","White","1","0","2","1","0","","たんたんめん",""
"20200508-6","Front,Side","School","Navy Blue","Light Blue","Navy Blue","White","1","0","1","1","0","0","DangMyo",""
"20200508-7","Front,Bottom","Streets","Black","Black","Black,Navy Blue","White","0","0","1","1","0","1","DangMyo",""
"20200511-2","Front","Hidden","Navy Blue","Yellow","Navy Blue,Yellow","White,Yellow","","0","1","1","0","0","ねむりねむ",""
"20200511-3","Front,Top","Library","Navy Blue","Yellow,Red","Navy Blue","White","0","0","1,2","2","0","1","ねむりねむ",""
"20200511-4","Front,Side,Top","Building","White","White","White","Black","0","0","0","1","0","1","ねむりねむ",""
"20200511-5","Front,Side","","Black","White","Black","Brown","1","0","2","1","0","","ねむりねむ",""
"20200511-6","Front","Streets","Black","Ivory","Navy Blue,Purple","Pink,Brown","1","0","1,2","1","0","1,2","ねむりねむ",""
"20200512-1","Front,Side","","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","","ふるとり",""
"20200512-4","Front","","Black","Red","Black","White","1","0","0,1","1","0","","ひさまる",""
"20200513-4","Top","Bed","Navy Blue","Red","","White","0","0","1","1","0","","ふるとり",""
"20200513-5","Front","","Navy Blue","Grue","Navy Blue","White","0","0","2","1","0","","しき",""
"20200513-6","Front,Side,Back","Streets","Navy Blue","Red","Navy Blue","Navy Blue","1","0","2","2","0","0","荻pote",""
"20200514-1","Top","Wilderness","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","0","a","Suicide"
"20200514-4","Front","","White","Grue","Light Blue","White","0","0","2","1","0","","しき",""
"20200514-5","Front","Wilderness","Navy Blue","White","","Navy Blue","1","0","1","1","0","","しき",""
"20200514-6","Side","","Black","White","","Black","","0","0","1","0","","栗林",""
"20200516-1","Front","","Navy Blue","Red","","White","0","0","2","1","0","","おむたつ/omutatsu",""
"20200516-11","Front,Side","","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","","ALLENES",""
"20200516-12","Front,Side,Top","Building","Navy Blue","Red","Navy Blue","White","1","0","0","1","0","","ALLENES",""
"20200516-3","Back","","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","","ALLENES",""
"20200516-5","Front","Building","Navy Blue","Red","Navy Blue","White","0","0","2","2","0","2","ALLENES",""
"20200516-6","Side","Building","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","0","ALLENES",""
"20200516-8","Front","","Navy Blue","Blue","Navy Blue","White","1","0","0","1","0","","ALLENES",""
"20200516-9","Side","Building","Black","White","","Black","1","0","2","1","0","0","ALLENES",""
"20200519-1","Front","Building","Black","Blue","Black","White","1","0","2","1","0","0","ぺんたごん",""
"20200520-1","Side,Top","Bed","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","","れいなま","Collar"
"20200520-2","Side","School","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","0","れいなま",""
"20200520-3","Front","","Black","Red","","White","1","0","2","1","0","","nene .I",""
"20200521-1","Top","Bed","Navy Blue","White","Navy Blue","Navy Blue","1","0","0","1","0","0","えのきたろー",""
"20200521-2","Front","Wilderness","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","0","eating",""
"20200521-4","Front","Streets","Black","Black,Red","Black","White","0","0","2","2","0","","ぴりぷん","Rainfall,Umbrella"
"20200521-5","Side","Chair,Building","Black","White","Black","Black","1","0","2","2","0","","ぴりぷん",""
"20200521-6","Front","Building","Black","White","Black","Black","1","0","1,2","2","0","","ぴりぷん",""
"20200522-1","Front","","Black","White","Black","Black","1","0","1","1","0","","ぴりぷん",""
"20200522-2","Front","Wilderness","Navy Blue,Black","Red","Navy Blue","White","1","0","2","1","0","0","ぴりぷん","Rainfall,Umbrella"
"20200522-4","Front,Side","School,Locker","White","Grue","Navy Blue","White","0","0","1","1","0","0","えと",""
"20200522-6","Side","Building,Drinking Fountain","Gray","Red","Gray","White","0","0","1","1","0","0","えと","Drinking Fountain"
"20200524-1","Front","Streets","Navy Blue","Green","Navy Blue","White","0","0","2","1","0","0","Uut",""
"20200524-2","Front","","White","Blue","White","Translucent White","0","0","0","1","0","","Uut",""
"20200526-1","Front,Side","Wilderness","Pink","Pink","","Pink","1","0","0","1","0","0","紗久太郎",""
"20200526-2","Front","Wilderness","Blue","Light Blue","Blue","White","0","0","1","1","0","0","紗久太郎",""
"20200526-4","Side","","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","","M子",""
"20200526-5","Front","","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","","derori",""
"20200526-6","Front","School","White","Red","Black","Black","1","0","1","1","0","1","白クマシェイク",""
"20200527-3","Side","Building","Navy Blue","Red","","Ivory","1","0","1","1","0","1","白クマシェイク",""
"20200527-4","Front,Side","Streets","White","Red","Navy Blue","Navy Blue","1","0","1","1","0","0","白クマシェイク",""
"20200527-5","Front,Side","School","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","1","白クマシェイク","Confession,Love Letter"
"20200527-6","Side","","Black","Red","Black","White","0","0","2","1","0","","白クマシェイク",""
"20200528-2","Front","","Navy Blue","White","Navy Blue","Navy Blue","1","0","2","1","0","","桃園結",""
"20200528-3","Front","Streets","Black","Red","Black","Black","0","0","2","1","0","1","えのきたろー","Angel"
"20200528-5","Front","","Navy Blue","Red","","White","1","0","0,1","1","0","","ぽぽ🎈",""
"20200528-6","Side","","Navy Blue","","Navy Blue","White","0","0","","1","0","","ぽぽ🎈",""
"20200529-1","Front","","Black","Red","Black","White","1","0","2","1","0","","みなみさき",""
"20200529-2","Front","","Brown","Yellow","Brown","White","0","0","2","1","0","","weri",""
"20200529-3","Front","","Black","Red","Black","Black","1","0","1","1","0","","weri",""
"20200529-4","Front","","Black","Red","Black","White","0","0","1","1","0","","weri",""
"20200529-5","Side","Streets","Navy Blue","Red","Navy Blue","Navy Blue","1","0","2","1","0","","耳かき",""
"20200531-1","Front","Streets","Navy Blue","Grue","Navy Blue","White","1","0","2","1","0","0","みなみさき",""
"20200531-2","Front","Building","Gray","Yellow","Gray","White","0","0","2","1","0","0","みなみさき",""
"20200531-3","Side","Wilderness","Navy Blue","Blue","Navy Blue","White","0","0","0","1","0","0","みなみさき",""
"20200531-4","Front","Wilderness","Gray","Red","","White","1","0","2","1","0","0","Aちき",""
"20200531-5","Front,Side","Wilderness","Black","White","","Black","1","0","0","1","0","0","Aちき",""
"20200531-6","Front","","Navy Blue","Green","","White","1","0","1","1","0","","betock",""
"20200618-1","Front","","Black","White","Black","Gray","1","0","0","1","0","","chiranai",""
"20200618-2","Side","Wilderness,Beach","Navy Blue","Red","Navy Blue","White","1","0","0","1","0","0","やまうち",""
"20200618-3","Front,Side","Wilderness","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","0","やまうち",""
"20200618-4","Front","","Gray","Gray","","White","1","0","2","1","0","","Shijohane","Hyouka,Eru Chitanda"
"20200618-6","Side","School","Navy Blue","Blue","Navy Blue","White","1","0","1","1","0","1","pasdar",""
"20200619-1","Front,Bottom","Building","Navy Blue","Blue","Navy Blue","White","1","0","1","1","0","2","pasdar",""
"20200619-4","Front","","Navy Blue","Blue","Navy Blue","Translucent White","0","0","0,1","1","0","","翠みや子＊","Rainfall"
"20200619-6","Side","","White","Blue","Black","Black","1","0","0","1","0","","ツキマル",""
"20200620-1","Front","","Black","Yellow","Black","White","0","0","2","1","0","","ユウナ",""
"20200620-2","Front","Wilderness","White","Red","Grue","White","0","0","2","1","0","0","りく",""
"20200620-3","Front","School","Navy Blue","Red","","White","1","0","1","1","0","1","Parum",""
"20200620-4","Front","Streets","White","Grue","Black","White","0","0","2","1","0","0","和遥キナ",""
"20200620-5","Side","Streets,Train Station,Yamagata","Navy Blue","Light Blue","","White","0","0","1","1","0","0","和遥キナ",""
"20200620-6","Side","Wilderness","Navy Blue","Red","Navy Blue","Ivory,White","1","0","1","1","0","0","和遥キナ",""
"20200622-2","Front","Streets,Nihonbashi","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","2","和遥キナ",""
"20200622-3","Front","","Gray","Blue","Gray","White","0","0","2","1","0","","和遥キナ",""
"20200622-4","Front","Streets","Gray","Yellow","Gray","White","0","0","1","1","0","1","和遥キナ",""
"20200622-5","Side,Back","Wilderness","White","Blue","Navy Blue","White","0","0","1,2","1","0","0","和遥キナ",""
"20200622-6","Front,Side","Wilderness","Blue","Light Blue,Grue","","White","0","0","0","1","0","1","和遥キナ",""
"20200623-5","Side","Home","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","0","ねでぃあ",""
"20200623-6","Side","Home","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","0","ねでぃあ",""
"20200624-2","Front","","Navy Blue","Navy Blue","Black","Gray","1","0","2","1","0","","まよぎい","Cat"
"20200624-4","Front","","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","","まよぎい",""
"20200624-6","Side","Streets,Wilderness","Blue","Light Blue","Blue","White","1","0","1","1","0","0","mikoko1","Rainfall"
"20200625-1","Front","Wilderness","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","0","mikoko1",""
"20200625-2","Front","Streets","Black","Gray Blue","Black","White","0","0","2","1","0","0","mikoko1",""
"20200625-3","Side","","Navy Blue","White","","Yellow","1","0","2","2","0","","みるざわ","Yuri,Kissing,Yuru Camp,Khara Nadeshiko,Shima Rin"
"20200625-4","Side","","Navy Blue","Red","Navy Blue","White","0","0","2","1","0","","IK",""
"20200625-5","Front","","Navy Blue","Red","Navy Blue","White","1","0","1","1","0","","IK","Hairdressing,Good"
"20200625-6","Front","","White","Red","Navy Blue","Navy Blue","1","0","1","1","0","","IK","Collar,Ryuou no Shigoto!,Ginko Sora"
"20200626-1","Front","","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","","IK",""
"20200626-2","Side","","Navy Blue","Red","","White","0","0","2","1","0","","IK",""
"20200626-3","Front","","Navy Blue","Red","","White","0","0","2","1","0","","IK",""
"20200626-4","Front","","Black","Red","Black","Black","0","0","2","1","0","","IK","Collar"
"20200626-5","Front","","Navy Blue","Red","","White","0","0","2","1","0","","IK",""
"20200626-6","Front","","Navy Blue","Red","","White","0","0","0","1","0","","IK",""
"20200628-2","Front","","Navy Blue","Light Blue","Navy Blue","White","0","0","2","1","0","","あさん",""
"20200628-3","Front","","White","Red","Gray","Purple,White","1","0","2","1","0","","IK",""
"20200628-4","Side","","Navy Blue","Red","","White","0","0","1","2","0","","IK",""
"20200628-5","Front","","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","","IK",""
"20200628-6","Front","","Black","Red","Black","Brown,White","1","0","1","1","0","","IK",""
"20200629-1","Front","Beach,Wilderness","Navy Blue","Red","Navy Blue","Translucent White","0","0","2","1","0","0","きさらぎゆり",""
"20200629-3","Side,Top","Building","Navy Blue","Red","Navy Blue","White,Gray","1","0","1,2","2","0","1","きさらぎゆり",""
"20200629-4","Front,Side","","Navy Blue","Red","Navy Blue","White","0","0","0","1","0","","間明田",""
"20200629-5","Front","","Navy Blue","Navy Blue","Navy Blue","White","0","0","0","1","0","","チョコ",""
"20200629-6","Front","","Light Blue","Navy Blue","","White","0","0","2","1","0","","白桃",""
"20200630-2","Front","","White","Red","Navy Blue","White","0","0","2","1","0","","佐倉凪",""
"20200630-3","Top","Sofa","Black","White","Black","Black","1","0","2","1","0","0","ぺんたごん",""
"20200630-4","Front,Top","School","Black","White","Black","Black","1","0","2","1","0","0","ぺんたごん",""
"20200630-5","Front,Side","School","Black","White","Black","Black","1","0","2","2","0","0","ぺんたごん",""
"20200630-6","Front,Side,Back","School,Building","Black","White","Black","White","1","0","2","4","0","0","ぺんたごん",""
"20200702-2","Front,Side","Building","White","Blue","Navy Blue","White","0","0","2","1","0","0","",""
"20200702-3","Front","Streets","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","1","",""
"20200702-4","Front","Streets","Navy Blue","Red","Navy Blue","White","1","0","2","1","0","0","","Confession,Love Letter"
"20200702-5","Front","Streets,Wilderness","Black","Red","Black","Black","1","0","2","1","0","0","",""
"20200702-6","Front,Side","Bed","Black","","Black","Black","1","0","2","1","0","","",""
"20200703-1","Front","Bed","Navy Blue,Black","Red","Navy Blue,Black","White","1","0","2","1","0","1","",""
"20200703-2","Front,Side","School","Navy blue","Blue","Navy Blue","White","0","0","2","1","0","0","",""
"20200703-3","Front","Building","Navy Blue","Blue","Navy Blue","White","0","0","2","1","0","0","",""
"20200703-4","Front","Streets,Wilderness","White","Blue","Navy Blue","White","0","0","2","1","0","0","","Rainfall"
"20200703-5","Front,Side","Streets","Navy Blue","Red","Navy Blue","White","0","0","0","1","0","0","",""
"20200703-6","Front,Side","Streets,Wilderness","Black","Red","Black","White","1","0","2","1","0","0","",""
"20200703-7","Side","Streets","Black","Red","Black","White","1","0","2","1","0","0","",""
"20200704-1","Front","Home","Navy Blue","Red","","White","1","0","2","1","0","","",""
"20200704-2","Side,Top","Sofa","Navy Blue","Red","Navy Blue","White","0","0","1","1","0","","",""
"20200704-3","Front,Side","Home,Bed","Navy Blue","Red","Navy Blue","White","0","0","0","1","0","0","",""
"20200704-6","Side","","Navy Blue","Red","Navy Blue","White","0","0","1,2","1","0","","",""
"20200705-1","Side","School","Navy Blue","Light Blue","Navy Blue","White","1","0","2","1","0","0","ぺんたごん",""
"20200705-3","Front,Side","School","White","Navy Blue,Black","Navy Blue,Black","White","0","0","1","1","0","1","",""
